
 438, Temperature, 67, 29, 67,154 

 412, Temperature, 21, 5, 37,83 

 590, Temperature, 67, 40, 140,145 

 506, Son, 37, 18, 56,97 

 272, Temperature, 37, 9, 95,189 

 396, Temperature, 42, 12, 55,90 

 767, Luminosite, 96, 39, 177,212 

 502, Son, 110, 37, 168,261 

 54, Luminosite, 7, 5, 102,121 

 65, Son, 85, 31, 100,125 

 113, Son, 55, 36, 78,89 

 103, Temperature, 118, 37, 156,208 

 3, Son, 115, 80, 121,173 

 318, Temperature, 127, 50, 170,227 

 418, Son, 150, 99, 213,259 

 565, Son, 97, 27, 129,135 

 445, Son, 106, 98, 141,200 

 973, Luminosite, 79, 58, 101,116 

 210, Son, 136, 68, 178,248 

 396, Temperature, 100, 76, 197,255 

 693, Luminosite, 112, 84, 210,263 

 496, Son, 95, 78, 107,157 

 557, Son, 174, 90, 212,233 

 766, Son, 91, 33, 118,139 

 836, Son, 17, 11, 63,115 

 813, Temperature, 121, 57, 140,239 

 377, Son, 86, 81, 102,121 

 961, Temperature, 131, 37, 147,228 

 735, Temperature, 107, 35, 166,205 

 571, Son, 53, 31, 67,157 

 393, Son, 184, 91, 261,287 

 662, Son, 92, 72, 106,193 

 698, Son, 134, 42, 170,253 

 761, Son, 89, 26, 120,160 

 671, Luminosite, 93, 42, 178,220 

 244, Temperature, 138, 78, 154,182 

 936, Luminosite, 111, 94, 122,178 

 213, Temperature, 95, 43, 177,182 

 818, Son, 108, 80, 149,175 

 149, Temperature, 94, 45, 191,205 

 172, Son, 71, 40, 143,184 

 434, Temperature, 113, 97, 125,223 

 355, Luminosite, 92, 58, 128,179 

 925, Luminosite, 111, 57, 192,233 

 873, Son, 97, 20, 114,176 

 143, Luminosite, 74, 42, 87,162 

 537, Luminosite, 34, 16, 75,166 

 451, Son, 115, 53, 185,238 

 920, Temperature, 172, 99, 184,280 

 35, Luminosite, 126, 40, 202,285 

 137, Son, 171, 99, 172,208 

 679, Son, 94, 4, 123,201 

 270, Temperature, 41, 18, 78,99 

 633, Luminosite, 99, 74, 157,247 

 85, Son, 41, 4, 104,164 

 722, Luminosite, 128, 82, 171,207 

 720, Luminosite, 125, 38, 188,218 

 173, Son, 101, 59, 155,188 

 832, Luminosite, 163, 73, 207,292 

 685, Temperature, 133, 57, 205,238 

 685, Luminosite, 35, 6, 38,125 

 436, Son, 118, 77, 131,177 

 872, Temperature, 119, 55, 144,238 

 610, Luminosite, 89, 68, 97,159 

 317, Temperature, 131, 74, 167,246 

 550, Temperature, 88, 82, 123,180 

 755, Son, 92, 22, 157,188 

 461, Son, 161, 80, 223,318 

 433, Temperature, 134, 96, 214,262 

 332, Luminosite, 23, 8, 75,94 

 216, Son, 130, 86, 161,248 

 801, Luminosite, 68, 28, 82,90 

 686, Temperature, 47, 28, 80,102 

 527, Luminosite, 15, 1, 64,123 

 174, Luminosite, 112, 22, 192,218 

 910, Son, 177, 87, 261,294 

 979, Son, 163, 73, 180,239 

 580, Son, 144, 45, 200,264 

 970, Temperature, 132, 83, 142,156 

 357, Temperature, 106, 58, 126,226 

 460, Temperature, 102, 36, 108,167 

 981, Temperature, 105, 100, 203,295 

 739, Luminosite, 156, 77, 235,236 

 431, Luminosite, 148, 75, 228,271 

 219, Son, 166, 68, 202,215 

 8, Temperature, 142, 68, 204,227 

 549, Temperature, 159, 80, 166,196 

 401, Temperature, 176, 77, 276,300 

 899, Luminosite, 97, 67, 137,184 

 425, Temperature, 124, 39, 131,221 

 263, Son, 110, 96, 209,260 

 93, Luminosite, 80, 46, 121,162 

 36, Son, 91, 29, 107,206 

 438, Temperature, 67, 29, 67,154 

 412, Temperature, 21, 5, 37,83 

 590, Temperature, 67, 40, 140,145 

 506, Son, 37, 18, 56,97 

 272, Temperature, 37, 9, 95,189 

 396, Temperature, 42, 12, 55,90 

 767, Luminosite, 96, 39, 177,212 

 502, Son, 110, 37, 168,261 

 54, Luminosite, 7, 5, 102,121 

 65, Son, 85, 31, 100,125 

 113, Son, 55, 36, 78,89 

 103, Temperature, 118, 37, 156,208 

 3, Son, 115, 80, 121,173 

 318, Temperature, 127, 50, 170,227 

 418, Son, 150, 99, 213,259 

 565, Son, 97, 27, 129,135 

 445, Son, 106, 98, 141,200 

 973, Luminosite, 79, 58, 101,116 

 210, Son, 136, 68, 178,248 

 396, Temperature, 100, 76, 197,255 

 693, Luminosite, 112, 84, 210,263 

 496, Son, 95, 78, 107,157 

 557, Son, 174, 90, 212,233 

 766, Son, 91, 33, 118,139 

 836, Son, 17, 11, 63,115 

 813, Temperature, 121, 57, 140,239 

